$TIME_COURSE(MEASURED)
  
*TIER(1):UYAB1901CS 1 IITA-TMS-IBA000#SX LALD DAP                               
  
@TRNO L#IR, L#SX LALD DAP   DAP   DAS                                                                                                                                               
1 -99 138 214.4 140                                                                                                                                                                 
1 -99 69.4 122.2 140                                                                                                                                                                
1 -99 108.9 201.9 140                                                                                                                                                               
1 0.52 -99 216.2 140                                                                                                                                                                
1 0.29 -99 183.6 140                                                                                                                                                                
1 0.43 76.6 190.8 140                                                                                                                                                               
1 0.33 72.6 205.7 140                                                                                                                                                               
1 0.52 142 271.7 140                                                                                                                                                                
1 0.48 92.5 255.6 140                                                                                                                                                               
1 0.43 -99 264.8 140                                                                                                                                                                
1 0.48 120.5 246.9 140                                                                                                                                                              
1 0.48 -99 266.4 140                                                                                                                                                                
1 -99 -99 -99 140                                                                                                                                                                   
1 0.33 -99 234.9 140                                                                                                                                                                
1 0.48 -99 213.7 140                                                                                                                                                                
1 0.43 -99 277 140                                                                                                                                                                  
1 -99 -99 -99 140                                                                                                                                                                   
1 -99 -99 -99 140                                                                                                                                                                   
  
*TIER(1):UYIB1901CS 1 IITA-TMS-IBA000#SX LALD DAP                               
  
@TRNO L#IR, L#SX LALD DAP   DAP   DAS                                                                                                                                               
1 0 0 0 0                                                                                                                                                                           
1 -99 77.1 136.3 140                                                                                                                                                                
1 -99 117 111.8 140                                                                                                                                                                 
1 -99 138 214.4 140                                                                                                                                                                 
1 -99 69.4 122.2 140                                                                                                                                                                
1 -99 108.9 201.9 140                                                                                                                                                               
1 0.52 -99 216.2 140                                                                                                                                                                
1 0.29 -99 183.6 140                                                                                                                                                                
1 0.43 76.6 190.8 140                                                                                                                                                               
1 0.33 72.6 205.7 140                                                                                                                                                               
1 0.52 142 271.7 140                                                                                                                                                                
1 0.48 92.5 255.6 140                                                                                                                                                               
1 0.43 -99 264.8 140                                                                                                                                                                
1 0.48 120.5 246.9 140                                                                                                                                                              
1 0.48 -99 266.4 140                                                                                                                                                                
1 -99 -99 -99 140                                                                                                                                                                   
1 0.33 -99 234.9 140                                                                                                                                                                
1 0.48 -99 213.7 140                                                                                                                                                                
1 0.43 -99 277 140                                                                                                                                                                  
1 -99 -99 -99 140                                                                                                                                                                   
1 -99 -99 -99 140                                                                                                                                                                   
  
*TIER(1):UYIB2001CS 1 IITA-TMS-IBA000#SX LALD DAP                               
  
@TRNO L#IR, L#SX LALD DAP   DAP   DAS                                                                                                                                               
1 0 0 0 0                                                                                                                                                                           
1 -99 77.1 136.3 140                                                                                                                                                                
1 -99 117 111.8 140                                                                                                                                                                 
1 -99 138 214.4 140                                                                                                                                                                 
1 -99 69.4 122.2 140                                                                                                                                                                
1 -99 108.9 201.9 140                                                                                                                                                               
1 0.52 -99 216.2 140                                                                                                                                                                
1 0.29 -99 183.6 140                                                                                                                                                                
1 0.43 76.6 190.8 140                                                                                                                                                               
1 0.33 72.6 205.7 140                                                                                                                                                               
1 0.52 142 271.7 140                                                                                                                                                                
1 0.48 92.5 255.6 140                                                                                                                                                               
1 0.43 -99 264.8 140                                                                                                                                                                
1 0.48 120.5 246.9 140                                                                                                                                                              
1 0.48 -99 266.4 140                                                                                                                                                                
1 -99 -99 -99 140                                                                                                                                                                   
1 0.33 -99 234.9 140                                                                                                                                                                
1 0.48 -99 213.7 140                                                                                                                                                                
1 0.43 -99 277 140                                                                                                                                                                  
1 -99 -99 -99 140                                                                                                                                                                   
1 -99 -99 -99 140                                                                                                                                                                   
  
*TIER(1):UYIK1701CS 1 IITA-TMS-IBA000#SX LALD DAP                               
  
@TRNO L#IR, L#SX LALD DAP   DAP   DAS                                                                                                                                               
1 0 0 0 0                                                                                                                                                                           
1 -99 77.1 136.3 140                                                                                                                                                                
1 -99 117 111.8 140                                                                                                                                                                 
1 -99 138 214.4 140                                                                                                                                                                 
1 -99 69.4 122.2 140                                                                                                                                                                
1 -99 108.9 201.9 140                                                                                                                                                               
1 0.52 -99 216.2 140                                                                                                                                                                
1 0.29 -99 183.6 140                                                                                                                                                                
1 0.43 76.6 190.8 140                                                                                                                                                               
1 0.33 72.6 205.7 140                                                                                                                                                               
1 0.52 142 271.7 140                                                                                                                                                                
1 0.48 92.5 255.6 140                                                                                                                                                               
1 0.43 -99 264.8 140                                                                                                                                                                
1 0.48 120.5 246.9 140                                                                                                                                                              
1 0.48 -99 266.4 140                                                                                                                                                                
1 -99 -99 -99 140                                                                                                                                                                   
1 0.33 -99 234.9 140                                                                                                                                                                
1 0.48 -99 213.7 140                                                                                                                                                                
1 0.43 -99 277 140                                                                                                                                                                  
1 -99 -99 -99 140                                                                                                                                                                   
1 -99 -99 -99 140                                                                                                                                                                   
  
*TIER(1):UYIK1801CS 1 IITA-TMS-IBA000#SX LALD DAP                               
  
@TRNO L#IR, L#SX LALD DAP   DAP   DAS                                                                                                                                               
1 0 0 0 0                                                                                                                                                                           
1 -99 77.1 136.3 140                                                                                                                                                                
1 -99 117 111.8 140                                                                                                                                                                 
1 -99 138 214.4 140                                                                                                                                                                 
1 -99 69.4 122.2 140                                                                                                                                                                
1 -99 108.9 201.9 140                                                                                                                                                               
1 0.52 -99 216.2 140                                                                                                                                                                
1 0.29 -99 183.6 140                                                                                                                                                                
1 0.43 76.6 190.8 140                                                                                                                                                               
1 0.33 72.6 205.7 140                                                                                                                                                               
1 0.52 142 271.7 140                                                                                                                                                                
1 0.48 92.5 255.6 140                                                                                                                                                               
1 0.43 -99 264.8 140                                                                                                                                                                
1 0.48 120.5 246.9 140                                                                                                                                                              
1 0.48 -99 266.4 140                                                                                                                                                                
1 -99 -99 -99 140                                                                                                                                                                   
1 0.33 -99 234.9 140                                                                                                                                                                
1 0.48 -99 213.7 140                                                                                                                                                                
1 0.43 -99 277 140                                                                                                                                                                  
1 -99 -99 -99 140                                                                                                                                                                   
1 -99 -99 -99 140                                                                                                                                                                   
  
*TIER(1):UYIK1901CS 1 IITA-TMS-IBA000#SX LALD DAP                               
  
@TRNO L#IR, L#SX LALD DAP   DAP   DAS                                                                                                                                               
1 0 0 0 0                                                                                                                                                                           
1 -99 77.1 136.3 140                                                                                                                                                                
1 -99 117 111.8 140                                                                                                                                                                 
1 -99 138 214.4 140                                                                                                                                                                 
1 -99 69.4 122.2 140                                                                                                                                                                
1 -99 108.9 201.9 140                                                                                                                                                               
1 0.52 -99 216.2 140                                                                                                                                                                
1 0.29 -99 183.6 140                                                                                                                                                                
1 0.43 76.6 190.8 140                                                                                                                                                               
1 0.33 72.6 205.7 140                                                                                                                                                               
1 0.52 142 271.7 140                                                                                                                                                                
1 0.48 92.5 255.6 140                                                                                                                                                               
1 0.43 -99 264.8 140                                                                                                                                                                
1 0.48 120.5 246.9 140                                                                                                                                                              
1 0.48 -99 266.4 140                                                                                                                                                                
1 -99 -99 -99 140                                                                                                                                                                   
1 0.33 -99 234.9 140                                                                                                                                                                
1 0.48 -99 213.7 140                                                                                                                                                                
1 0.43 -99 277 140                                                                                                                                                                  
1 -99 -99 -99 140                                                                                                                                                                   
1 -99 -99 -99 140                                                                                                                                                                   
  
*TIER(1):UYKA1801CS 1 IITA-TMS-IBA000#SX LALD DAP                               
  
@TRNO L#IR, L#SX LALD DAP   DAP   DAS                                                                                                                                               
1 0 0 0 0                                                                                                                                                                           
1 -99 77.1 136.3 140                                                                                                                                                                
1 -99 117 111.8 140                                                                                                                                                                 
1 -99 138 214.4 140                                                                                                                                                                 
1 -99 69.4 122.2 140                                                                                                                                                                
1 -99 108.9 201.9 140                                                                                                                                                               
1 0.52 -99 216.2 140                                                                                                                                                                
1 0.29 -99 183.6 140                                                                                                                                                                
1 0.43 76.6 190.8 140                                                                                                                                                               
1 0.33 72.6 205.7 140                                                                                                                                                               
1 0.52 142 271.7 140                                                                                                                                                                
1 0.48 92.5 255.6 140                                                                                                                                                               
1 0.43 -99 264.8 140                                                                                                                                                                
1 0.48 120.5 246.9 140                                                                                                                                                              
1 0.48 -99 266.4 140                                                                                                                                                                
1 -99 -99 -99 140                                                                                                                                                                   
1 0.33 -99 234.9 140                                                                                                                                                                
1 0.48 -99 213.7 140                                                                                                                                                                
1 0.43 -99 277 140                                                                                                                                                                  
1 -99 -99 -99 140                                                                                                                                                                   
1 -99 -99 -99 140                                                                                                                                                                   
  
*TIER(1):UYMO1701CS 1 IITA-TMS-IBA000#SX LALD DAP                               
  
@TRNO L#IR, L#SX LALD DAP   DAP   DAS                                                                                                                                               
1 0 0 0 0                                                                                                                                                                           
1 -99 77.1 136.3 140                                                                                                                                                                
1 -99 117 111.8 140                                                                                                                                                                 
1 -99 138 214.4 140                                                                                                                                                                 
1 -99 69.4 122.2 140                                                                                                                                                                
1 -99 108.9 201.9 140                                                                                                                                                               
1 0.52 -99 216.2 140                                                                                                                                                                
1 0.29 -99 183.6 140                                                                                                                                                                
1 0.43 76.6 190.8 140                                                                                                                                                               
1 0.33 72.6 205.7 140                                                                                                                                                               
1 0.52 142 271.7 140                                                                                                                                                                
1 0.48 92.5 255.6 140                                                                                                                                                               
1 0.43 -99 264.8 140                                                                                                                                                                
1 0.48 120.5 246.9 140                                                                                                                                                              
1 0.48 -99 266.4 140                                                                                                                                                                
1 -99 -99 -99 140                                                                                                                                                                   
1 0.33 -99 234.9 140                                                                                                                                                                
1 0.48 -99 213.7 140                                                                                                                                                                
1 0.43 -99 277 140                                                                                                                                                                  
1 -99 -99 -99 140                                                                                                                                                                   
1 -99 -99 -99 140                                                                                                                                                                   
  
*TIER(1):UYMO1801CS 1 IITA-TMS-IBA000#SX LALD DAP                               
  
@TRNO L#IR, L#SX LALD DAP   DAP   DAS                                                                                                                                               
1 0 0 0 0                                                                                                                                                                           
1 -99 77.1 136.3 140                                                                                                                                                                
1 -99 117 111.8 140                                                                                                                                                                 
1 -99 138 214.4 140                                                                                                                                                                 
1 -99 69.4 122.2 140                                                                                                                                                                
1 -99 108.9 201.9 140                                                                                                                                                               
1 0.52 -99 216.2 140                                                                                                                                                                
1 0.29 -99 183.6 140                                                                                                                                                                
1 0.43 76.6 190.8 140                                                                                                                                                               
1 0.33 72.6 205.7 140                                                                                                                                                               
1 0.52 142 271.7 140                                                                                                                                                                
1 0.48 92.5 255.6 140                                                                                                                                                               
1 0.43 -99 264.8 140                                                                                                                                                                
1 0.48 120.5 246.9 140                                                                                                                                                              
1 0.48 -99 266.4 140                                                                                                                                                                
1 -99 -99 -99 140                                                                                                                                                                   
1 0.33 -99 234.9 140                                                                                                                                                                
1 0.48 -99 213.7 140                                                                                                                                                                
1 0.43 -99 277 140                                                                                                                                                                  
1 -99 -99 -99 140                                                                                                                                                                   
1 -99 -99 -99 140                                                                                                                                                                   
  
*TIER(1):UYMO1901CS 1 IITA-TMS-IBA000#SX LALD DAP                               
  
@TRNO L#IR, L#SX LALD DAP   DAP   DAS                                                                                                                                               
1 0 0 0 0                                                                                                                                                                           
1 -99 77.1 136.3 140                                                                                                                                                                
1 -99 117 111.8 140                                                                                                                                                                 
1 -99 138 214.4 140                                                                                                                                                                 
1 -99 69.4 122.2 140                                                                                                                                                                
1 -99 108.9 201.9 140                                                                                                                                                               
1 0.52 -99 216.2 140                                                                                                                                                                
1 0.29 -99 183.6 140                                                                                                                                                                
1 0.43 76.6 190.8 140                                                                                                                                                               
1 0.33 72.6 205.7 140                                                                                                                                                               
1 0.52 142 271.7 140                                                                                                                                                                
1 0.48 92.5 255.6 140                                                                                                                                                               
1 0.43 -99 264.8 140                                                                                                                                                                
1 0.48 120.5 246.9 140                                                                                                                                                              
1 0.48 -99 266.4 140                                                                                                                                                                
1 -99 -99 -99 140                                                                                                                                                                   
1 0.33 -99 234.9 140                                                                                                                                                                
1 0.48 -99 213.7 140                                                                                                                                                                
1 0.43 -99 277 140                                                                                                                                                                  
1 -99 -99 -99 140                                                                                                                                                                   
1 -99 -99 -99 140                                                                                                                                                                   
  
*TIER(1):UYON1801CS 1 IITA-TMS-IBA000#SX LALD DAP                               
  
@TRNO L#IR, L#SX LALD DAP   DAP   DAS                                                                                                                                               
1 0 0 0 0                                                                                                                                                                           
1 -99 77.1 136.3 140                                                                                                                                                                
1 -99 117 111.8 140                                                                                                                                                                 
1 -99 138 214.4 140                                                                                                                                                                 
1 -99 69.4 122.2 140                                                                                                                                                                
1 -99 108.9 201.9 140                                                                                                                                                               
1 0.52 -99 216.2 140                                                                                                                                                                
1 0.29 -99 183.6 140                                                                                                                                                                
1 0.43 76.6 190.8 140                                                                                                                                                               
1 0.33 72.6 205.7 140                                                                                                                                                               
1 0.52 142 271.7 140                                                                                                                                                                
1 0.48 92.5 255.6 140                                                                                                                                                               
1 0.43 -99 264.8 140                                                                                                                                                                
1 0.48 120.5 246.9 140                                                                                                                                                              
1 0.48 -99 266.4 140                                                                                                                                                                
1 -99 -99 -99 140                                                                                                                                                                   
1 0.33 -99 234.9 140                                                                                                                                                                
1 0.48 -99 213.7 140                                                                                                                                                                
1 0.43 -99 277 140                                                                                                                                                                  
1 -99 -99 -99 140                                                                                                                                                                   
1 -99 -99 -99 140                                                                                                                                                                   
  
*TIER(1):UYOT1801CS 1 IITA-TMS-IBA000#SX LALD DAP                               
  
@TRNO L#IR, L#SX LALD DAP   DAP   DAS                                                                                                                                               
1 0 0 0 0                                                                                                                                                                           
1 -99 77.1 136.3 140                                                                                                                                                                
1 -99 117 111.8 140                                                                                                                                                                 
1 -99 138 214.4 140                                                                                                                                                                 
1 -99 69.4 122.2 140                                                                                                                                                                
1 -99 108.9 201.9 140                                                                                                                                                               
1 0.52 -99 216.2 140                                                                                                                                                                
1 0.29 -99 183.6 140                                                                                                                                                                
1 0.43 76.6 190.8 140                                                                                                                                                               
1 0.33 72.6 205.7 140                                                                                                                                                               
1 0.52 142 271.7 140                                                                                                                                                                
1 0.48 92.5 255.6 140                                                                                                                                                               
1 0.43 -99 264.8 140                                                                                                                                                                
1 0.48 120.5 246.9 140                                                                                                                                                              
1 0.48 -99 266.4 140                                                                                                                                                                
1 -99 -99 -99 140                                                                                                                                                                   
1 0.33 -99 234.9 140                                                                                                                                                                
1 0.48 -99 213.7 140                                                                                                                                                                
1 0.43 -99 277 140                                                                                                                                                                  
1 -99 -99 -99 140                                                                                                                                                                   
1 -99 -99 -99 140                                                                                                                                                                   
  
*TIER(1):UYUB1901CS 1 IITA-TMS-IBA000#SX LALD DAP                               
  
@TRNO L#IR, L#SX LALD DAP   DAP   DAS                                                                                                                                               
1 0 0 0 0                                                                                                                                                                           
1 -99 77.1 136.3 140                                                                                                                                                                
1 -99 117 111.8 140                                                                                                                                                                 
1 -99 138 214.4 140                                                                                                                                                                 
1 -99 69.4 122.2 140                                                                                                                                                                
1 -99 108.9 201.9 140                                                                                                                                                               
1 0.52 -99 216.2 140                                                                                                                                                                
1 0.29 -99 183.6 140                                                                                                                                                                
1 0.43 76.6 190.8 140                                                                                                                                                               
1 0.33 72.6 205.7 140                                                                                                                                                               
1 0.52 142 271.7 140                                                                                                                                                                
1 0.48 92.5 255.6 140                                                                                                                                                               
1 0.43 -99 264.8 140                                                                                                                                                                
1 0.48 120.5 246.9 140                                                                                                                                                              
1 0.48 -99 266.4 140                                                                                                                                                                
1 -99 -99 -99 140                                                                                                                                                                   
1 0.33 -99 234.9 140                                                                                                                                                                
1 0.48 -99 213.7 140                                                                                                                                                                
1 0.43 -99 277 140                                                                                                                                                                  
1 -99 -99 -99 140                                                                                                                                                                   
1 -99 -99 -99 140                                                                                                                                                                   
  
*TIER(1):UYUM1801CS 1 IITA-TMS-IBA000#SX LALD DAP                               
  
@TRNO L#IR, L#SX LALD DAP   DAP   DAS                                                                                                                                               
1 0 0 0 0                                                                                                                                                                           
1 -99 77.1 136.3 140                                                                                                                                                                
1 -99 117 111.8 140                                                                                                                                                                 
1 -99 138 214.4 140                                                                                                                                                                 
1 -99 69.4 122.2 140                                                                                                                                                                
1 -99 108.9 201.9 140                                                                                                                                                               
1 0.52 -99 216.2 140                                                                                                                                                                
1 0.29 -99 183.6 140                                                                                                                                                                
1 0.43 76.6 190.8 140                                                                                                                                                               
1 0.33 72.6 205.7 140                                                                                                                                                               
1 0.52 142 271.7 140                                                                                                                                                                
1 0.48 92.5 255.6 140                                                                                                                                                               
1 0.43 -99 264.8 140                                                                                                                                                                
1 0.48 120.5 246.9 140                                                                                                                                                              
1 0.48 -99 266.4 140                                                                                                                                                                
1 -99 -99 -99 140                                                                                                                                                                   
1 0.33 -99 234.9 140                                                                                                                                                                
1 0.48 -99 213.7 140                                                                                                                                                                
1 0.43 -99 277 140                                                                                                                                                                  
1 -99 -99 -99 140                                                                                                                                                                   
1 -99 -99 -99 140                                                                                                                                                                   
  
*TIER(1):UYZA1901CS 1 IITA-TMS-IBA000#SX LALD DAP                               
  
@TRNO L#IR, L#SX LALD DAP   DAP   DAS                                                                                                                                               
1 0 0 0 0                                                                                                                                                                           
1 -99 77.1 136.3 140                                                                                                                                                                
1 -99 117 111.8 140                                                                                                                                                                 
1 -99 138 214.4 140                                                                                                                                                                 
1 -99 69.4 122.2 140                                                                                                                                                                
1 -99 108.9 201.9 140                                                                                                                                                               
1 0.52 -99 216.2 140                                                                                                                                                                
1 0.29 -99 183.6 140                                                                                                                                                                
1 0.43 76.6 190.8 140                                                                                                                                                               
1 0.33 72.6 205.7 140                                                                                                                                                               
1 0.52 142 271.7 140                                                                                                                                                                
1 0.48 92.5 255.6 140                                                                                                                                                               
1 0.43 -99 264.8 140                                                                                                                                                                
1 0.48 120.5 246.9 140                                                                                                                                                              
1 0.48 -99 266.4 140                                                                                                                                                                
1 -99 -99 -99 140                                                                                                                                                                   
1 0.33 -99 234.9 140                                                                                                                                                                
1 0.48 -99 213.7 140                                                                                                                                                                
1 0.43 -99 277 140                                                                                                                                                                  
1 -99 -99 -99 140                                                                                                                                                                   
1 -99 -99 -99 140                                                                                                                                                                   
